Borough,RegionName,City,State,CountyName,SizeRank,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
Manhattan,10025,New York,NY,New York,1,4.86238532110092,4.878048780487799,4.89161168708765,4.977995110024451,4.89478543538056,4.88636363636364,4.696449026345929,4.64285714285714,4.67760381125685,4.71490840607688,4.70035252643948,4.73744526855608
Manhattan,10023,New York,NY,New York,2,5.3763676148796495,5.351758793969849,5.3763676148796495,5.33707865168539,5.3212365591397806,5.36911072366086,5.12351413061782,5.0235478806907405,5.25899672846238,5.2880481513327595,5.35331905781585,5.23318566250503
Manhattan,10016,New York,NY,New York,10,5.048760867670019,5.0145144135168,5.0,4.94597268565221,4.93656379143586,4.9549549549549505,4.8658325413399,4.87084881460435,4.92101501937984,4.9297553219928805,4.9659800971997194,5.01491927000767
Brooklyn,11235,New York,NY,Kings,11,2.3322222222222204,2.3897578649699502,2.43230601977094,2.43037551784044,2.39143780290792,2.3333333333333304,2.18181818181818,2.07835524824303,1.9010944964334802,1.84729064039409,1.6897939068100403,1.92567567567568
Manhattan,10029,New York,NY,New York,18,5.27583254826707,5.3045186640471504,5.2161664369561205,5.41981929227087,5.38373424971363,5.38373424971363,5.38373424971363,5.41981929227087,5.38373424971363,5.18590998043053,5.24642289348172,5.38373424971363
Manhattan,10011,New York,NY,New York,19,6.220839813374809,6.0861423220973805,6.1252871362940295,6.122448979591839,6.04229607250755,6.1122448979591795,5.93649332719742,5.57894736842105,5.80168776371308,5.81395348837209,5.68181818181818,5.93151236472554
Manhattan,10128,New York,NY,New York,20,4.821150855365469,4.86666666666667,4.7911232671593496,4.75086906141367,4.7911232671593496,4.846526655896611,4.53015463917526,4.57433290978399,4.7145538196742995,4.72196478220575,4.77889399158056,4.7358834244080095
Brooklyn,11201,New York,NY,Kings,24,4.49438202247191,4.419998584059661,4.37783232628399,4.34397163120567,4.3806646525679795,4.39512961508248,4.31996983563986,4.3543956043956,4.3806646525679795,4.403896103896099,4.4346549192364195,4.394930508088399
Bronx,10462,New York,NY,Bronx,35,2.13946117274168,2.16527309392656,2.06611570247934,2.0,2.02882333235925,1.99836867862969,2.05066344993969,2.0833333333333304,2.05066344993969,1.9333333333333302,2.1079445338236398,2.0486111111111103
Bronx,10463,New York,NY,Bronx,44,2.14,2.14,2.14,2.14,2.14,2.0363636363636397,1.87224669603524,1.92105263157895,1.92105263157895,1.98591549295775,1.9689737470167101,1.9704023664661001
Manhattan,10024,New York,NY,New York,50,4.94811320754717,5.0209555741827305,5.0,4.99359795134443,4.99679897567222,5.0,4.60769230769231,4.4755796113194695,4.99359795134443,4.992154065620539,4.93884533616795,4.69565217391304
Manhattan,10019,New York,NY,New York,70,5.45019820587737,5.41320893306453,5.37190082644628,5.352781546811401,5.3631750339213,5.36706765137097,5.33382789317507,5.320813771518,5.35401315102808,5.4338712439527095,5.42255616723702,5.38756898230807
Queens,11355,New York,NY,Queens,85,2.61780104712042,2.62037593339628,2.5585811247576,2.6229508196721296,2.5899280575539603,2.4284874608150497,2.47621627697194,2.35,2.31903542466923,2.34375,2.40384615384615,2.61035722570169
Staten Island,10314,New York,NY,Richmond,86,1.67857142857143,1.7014694508894,1.6380016380016398,1.6363636363636398,1.6235024303416201,1.55555555555556,1.63398692810458,1.73010380622837,1.69838523644752,1.48367952522255,1.66015625,1.5730936819172099
Brooklyn,11215,New York,NY,Kings,92,3.85751287765316,3.75,3.59824249415672,3.54545454545455,3.2529884514081204,3.28947368421053,3.3421516754850096,3.38941899222273,3.62202380952381,3.8265306122448997,3.8135593220339,3.8135593220339
Brooklyn,11211,New York,NY,Kings,103,4.30373699867544,4.21930815064164,4.0,4.08781869688385,4.26376811594203,4.08333333333333,4.19917340127506,4.23889632107023,4.26086956521739,4.32882882882883,4.46872302858336,3.98190045248869
Brooklyn,11238,New York,NY,Kings,133,3.4285714285714306,3.4177215189873396,3.3333333333333304,3.4285714285714306,3.5271132376395498,3.3809523809523796,3.28571428571429,3.2608695652173902,3.4285714285714306,3.5384615384615397,3.5252971804695896,3.82352941176471
Manhattan,10021,New York,NY,New York,230,5.460347089092929,5.34591194968553,5.40229885057471,5.5,5.35264483627204,5.38315389487017,5.215791785635839,4.87179487179487,4.91304347826087,5.0346347607052895,5.09090909090909,5.09090909090909
Manhattan,10014,New York,NY,New York,415,6.57506438621027,6.4,6.428571428571429,6.22544380629161,6.280674846625769,6.43210749646393,5.5,5.33333333333333,5.478624535315991,5.50403225806452,5.66666666666667,5.322222222222219
Queens,11354,New York,NY,Queens,455,3.1225,3.125,3.125,3.17647058823529,3.07559141756831,3.0857142857142903,3.0,3.07141170915958,2.94117647058824,2.76153846153846,2.6000772963456003,2.4816910785619197
Manhattan,10036,New York,NY,New York,586,5.35211267605634,5.335555237003059,5.280373831775701,5.23098813634397,5.50039831569364,5.3259677726926,5.40229885057471,5.3876404494382,5.3394355453852,5.3623595505618,5.3930490164928795,5.558803178895039
Manhattan,10010,New York,NY,New York,686,6.2842750533049,6.245124804992201,6.10725790546315,6.185467296437969,6.043068640646029,5.91596455859446,5.682339399003331,5.6630150471906,6.0692938559911,6.1892177589852,6.0667402772665895,5.93972890019988
Manhattan,10022,New York,NY,New York,855,5.39325842696629,5.232421946488049,5.21052631578947,5.2132701421800896,5.17857142857143,5.1457399103139005,4.61811722912966,4.60833333333333,4.85651214128035,4.85232067510549,5.03597122302158,4.894156879802809
Queens,11101,New York,NY,Queens,1012,4.08432147562582,4.0884476534296,4.0724612986488395,4.07239819004525,4.0716720679956,4.05816467876327,4.08625396152844,4.1104868913857695,4.12042074383305,4.10906780829912,4.1208791208791204,4.1104868913857695
Manhattan,10065,New York,NY,New York,1019,5.663716814159289,5.67045580385816,5.83244962884411,5.6663255272610495,5.68951836469092,5.64516129032258,5.36117381489842,5.33333333333333,5.31629260182876,5.4294175715696005,5.21739130434783,5.47119815668203
Manhattan,10001,New York,NY,New York,1299,5.78007518796993,5.778442255576401,5.63245661605206,5.70184195658211,5.58333333333333,5.60401721664276,5.529386173073879,5.45414881802316,5.4656747891284,5.60401721664276,5.798076923076921,5.778442255576401
Manhattan,10013,New York,NY,New York,1451,5.933952528379769,5.98548972188634,6.09110853013292,5.86332389809947,5.78577013291634,5.83130927596576,5.72706862330394,5.98203592814371,5.7971014492753605,5.80684596577017,5.985195855141099,6.04895104895105
Manhattan,10075,New York,NY,New York,1577,4.92091388400703,4.87876995860438,4.9145018601675305,4.9145018601675305,4.83333333333333,4.6717826814974295,4.29802955665025,4.31034482758621,4.36685288640596,4.32837502817219,4.4702979876160995,4.86853217820096
Manhattan,10038,New York,NY,New York,2195,4.7524752475247505,4.801568857034719,4.782394385938679,4.7524752475247505,4.738156228413541,4.71452420701169,4.60703340086229,4.68339049893769,4.643896246346539,4.75728155339806,4.82502011263073,4.8562091503268
Manhattan,10017,New York,NY,New York,2211,5.27086383601757,5.15317118226601,5.09090909090909,4.991961414791,5.050912293254809,4.959883296863599,4.81760400231671,4.70457049681779,4.86991869918699,4.916974948307151,4.8580669523387305,4.75435816164818
Manhattan,10005,New York,NY,New York,3090,5.13077365502595,5.07131537242472,5.08083140877598,5.02962962962963,5.0,5.00759878419453,4.91787953078451,5.01481481481481,5.091690544412611,5.1288764439955,5.045871559633031,5.0751879699248095
Manhattan,10280,New York,NY,New York,3161,5.210916645846759,5.13472225415395,5.19790176442537,5.1529790660225405,5.081716036772219,5.08118059903127,5.09885535900104,5.10948905109489,5.18796992481203,5.35308441558442,5.45492173389524,5.3717771601406
Manhattan,10007,New York,NY,New York,3201,5.973715651135009,5.847617600243161,5.87729308214947,5.87729308214947,5.93504726714508,5.903553463639951,5.952380952380951,5.793650793650791,5.84210526315789,5.94811401263014,5.892976168018611,5.756
Manhattan,10006,New York,NY,New York,3211,4.98718642725112,5.09271978021978,4.99166666666667,4.98718642725112,5.09271978021978,5.10771992818671,5.119020166869309,5.22875816993464,5.22677956786746,5.101936887170281,5.07633883592963,5.0840436829788604
Manhattan,10004,New York,NY,New York,3215,5.49363283133384,5.042016806722691,4.92678236700924,5.06926952141058,5.09746459676965,4.9723756906077305,5.03899401487214,5.269931967173941,5.2994427628488,5.21356554205186,5.0148645128840705,5.12
